TranscriptID	TranscriptAbundance	GeneAbundance
NM_017582	34.7932	34.7932
NM_183401	3.2533	5.4558
NM_004290	2.2025	5.4558
NM_173469	7.7733	7.7733
NM_014868	88.6644	88.6644
NM_014372	16.3394	16.3394
NM_183381	9.7916	9.7916
NR_002206	82.0637	167.04
chr16:684428-686347.8	52.02	128.3133
NM_001040160	14.5319	128.3133
NM_032366	61.7614	128.3133
NM_001085365	244.9208	244.9208
NM_000303	44.0958	44.0958
NM_002676	23.7322	23.7322
NM_000050	13.1144	275.9752
NM_054012	262.8608	275.9752
NM_001166243	0.8145	2.1973
NM_002012	1.3828	2.1973
NM_152601	0.2236	0.2236
NM_021269	3.3288	3.3288
NM_001136116	1.1517	1.1517
chr19:12154619-12167127.2	1.6826	1.6826
NM_000997	1006.218	1006.218
chr2:73114511-73119289.1	2.7676	13.179
NM_003124	10.4114	13.179
NM_144566	2.0418	2.0418
NM_001042511	9.7403	19.2414
NM_016096	9.5011	19.2414
NM_032786	15.9116	15.9116
NM_018683	49.7656	49.7656
NM_014455	14.8789	14.8789
NM_018471	47.4344	47.4344
NM_207660	0.6186	26.5814
NM_001160103	8.669	26.5814
NM_024824	17.2939	26.5814
chr15:59279864-59389251.1	10.2864	10.2864
chr5:149737201-149779870.6	63.2668	98.71
chr5:149737201-149779870.12	35.4433	98.71
NM_138473	19.243	19.243
NM_003110	14.0338	22.8828
chr17:45973515-46006321.4	8.849	22.8828
chr2:174771187-174830430.3	3.7934	14.8546
chr2:174771187-174830430.2	11.0612	14.8546
NM_003112	5.2079	5.2079
NR_028045	1.2653	1.2653
chr3:49895421-49907369.2	32.4576	62.2857
NM_024046	29.8281	62.2857
NM_139015	22.2799	22.2799
NM_001017989	3.1965	3.1965
chr22:46692637-46726706.3	4.4347	23.3847
NM_016426	18.95	23.3847
NM_003224	11.4733	11.4733
NM_032802	9.2402	9.2402
NM_152988	28.5891	28.5891
NM_001042549	0.3899	3.0847
NM_015471	2.6947	3.0847
NM_003358	11.879	11.879
NM_002204	20.4483	20.4483
NM_002930	1.431	1.431
NM_006912	7.4062	7.4062
NM_015055	15.6801	15.6801
NM_206963	0.2293	0.2293
NM_007350	19.0071	19.0071
NM_012396	67.4661	67.4661
NM_018359	13.9723	13.9723
NM_002045	23.8581	23.8581
NM_015430	1.9165	5.0557
NM_001001991	3.1392	5.0557
chr1:200993204-200994631.2	2.2319	11.3431
chr1:200993204-200994631.3	3.693	11.3431
chr1:200993204-200994631.1	3.5206	11.3431
chr1:200993204-200994631.4	1.8977	11.3431
NM_017703	31.7533	31.7533
chr1:168148170-168171349.1	8.7179	26.8694
chr1:168148170-168171349.3	15.3869	26.8694
NM_152902	2.7646	26.8694
NM_015566	10.1467	10.1467
NR_002196	12.7798	12.7798
NR_026569	3.1053	6.6739
NM_003409	0.0	6.6739
NM_001143823	3.5686	6.6739
NM_002087	170.5715	170.5715
NM_001166395	7.0699	11.3529
NM_005769	4.283	11.3529
NM_019886	15.3399	15.3399
NM_001867	3249.2763	3249.2763
NM_178126	19.3564	19.3564
NM_018260	1.0404	1.0404
NM_024293	30.071	30.071
NM_005359	12.7243	12.7243
NR_027285	17.5944	17.5944
NM_005904	5.51	5.51
NM_018178	11.945	11.945
NM_005900	8.0618	8.0618
chr2:64751438-64820131.2	2.2981	6.3468
NM_017657	4.0487	6.3468
NM_014058	0.4932	0.4932
NM_002669	43.7845	43.7845
chr13:46531432-46533617.2	11.5546	69.829
chr13:46536313-46626894.9	13.5836	69.829
chr13:46536313-46626894.19	22.3786	69.829
chr13:46531432-46533617.1	22.3122	69.829
NM_018228	208.2483	208.2483
chr8:575968-577002.1	12.8272	27.522
chr8:614200-681226.4	4.4445	27.522
NM_207332	10.2504	27.522
NM_017924	28.7475	28.7475
chr4:76932336-77033954.1	0.2211	0.2211
NM_053017	6.39	9.5217
chr11:3659735-3663546.5	3.1317	9.5217
NM_006442	178.2716	178.2716
chr20:62688438-62703699.1	5.3781	20.6081
NM_003195	15.23	20.6081
NM_201437	0.8098	99.6098
chr8:54879116-54935008.4	39.7523	99.6098
NM_006756	59.0477	99.6098
NR_026680	24.2319	24.2319
NM_001861	668.5924	668.5924
chr16:14726667-14763092.6	21.7767	56.1688
NM_016561	34.3921	56.1688
NM_016518	51.2072	51.2072
NM_173510	15.5837	15.5837
NM_012421	6.4643	6.4643
NM_001040440	6.8688	6.8688
NM_014157	3.2021	3.2021
NM_001142302	0.0	3.2021
NM_152683	3.5877	3.5877
NM_138792	26.3697	26.3697
NM_006371	38.8959	38.8959
NM_005917	260.8815	260.8815
NM_024040	65.9044	65.9044
NM_201515	0.0	30.5977
NM_201439	7.098	30.5977
NM_001143788	14.8866	30.5977
NM_001143789	0.0	30.5977
chr12:42719946-42842422.1	8.6131	30.5977
NM_201440	0.0	30.5977
chr9:46687565-46748385.1	2.0505	2.0505
chr15:83211951-83316728.13	0.623	1.2833
NM_030594	0.6603	1.2833
NM_019610	28.8545	37.8719
NM_001162536	9.0174	37.8719
NM_016264	1.5236	1.5236
NM_001010880	0.8483	2.4714
chr19:40575059-40596845.3	1.6231	2.4714
NM_004477	26.0465	26.0465
NM_144593	4.7796	7.7361
chr12:49458467-49463775.1	2.9564	7.7361
chr3:159974774-160117320.5	1.7608	6.8287
NM_020800	3.2858	6.8287
NM_001190242	1.7821	6.8287
NR_015381	20.6802	20.6802
chr13:21141207-21265574.2	1.3317	2.167
chr13:21141207-21265574.1	0.8352	2.167
NM_001009184	109.4211	109.4211
NM_013341	23.5503	25.0248
NM_001011708	1.4745	25.0248
chr10:13203553-13253100.1	22.3781	22.3781
NM_014669	108.381	108.381
NM_001007563	39.1286	39.1286
chr1:63249802-63330049.5	2.3326	8.9896
NM_178221	0.9403	8.9896
NM_032852	5.7167	8.9896
NM_013325	22.6726	75.0622
chr2:242577026-242613264.2	16.404	75.0622
chr2:242577026-242613264.1	35.9855	75.0622
NM_052936	1.1006	1.1006
chr2:39963199-40006416.9	4.1713	8.0378
NM_025264	1.0218	8.0378
NR_028102	2.8446	8.0378
chr19:10654646-10676702.10	55.4123	55.4123
NM_144648	1.2724	1.2724
NM_133443	65.3514	65.3514
NM_000270	64.05	64.05
chr2:160551931-160567227.1	1.6356	1.6356
NM_002687	109.8525	109.8525
NM_003945	128.6379	128.6379
NM_145230	25.736	25.736
NM_015665	83.4008	83.4008
chr1:22351706-22357713.7	23.307	23.307
chr11:117049938-117068161.4	11.4512	11.4512
chr1:223008557-223010560.1	5.4677	5.4677
NM_152755	14.581	14.581
chr11:89867817-89925770.1	2.9166	2.9166
NM_001190991	16.7833	167.6182
NM_014255	150.8349	167.6182
NM_001103176	0.0248	0.0248
chr15:77713242-77777943.2	24.7843	24.7843
chr12:104382764-104443915.3	1.393	4.7987
NM_031302	3.4057	4.7987
NM_024666	23.4757	23.4757
NM_001124767	109.195	109.195
NM_032313	39.87	39.87
NM_001031703	57.2458	57.2458
chr4:2937277-2965118.3	2.4578	6.4313
chr4:2937277-2965118.1	3.9735	6.4313
NM_001127176	0.4317	0.4317
NM_133466	4.8904	4.8904
NM_152726	17.4007	17.4007
NM_182715	29.5532	29.5532
NM_001025603	25.0951	25.0951
NM_201413	104.5509	278.3313
NM_000484	173.7804	278.3313
NM_001098535	0.0652	0.0652
chr9:3224648-3525983.1	2.6449	2.6449
chr22:21982377-21984340.3	22.0486	46.7068
NM_001017964	24.6582	46.7068
chr5:112043201-112181936.4	1.8683	1.8683
NM_199337	39.0687	39.0687
NM_001040876	0.7894	33.1549
NM_002940	32.3655	33.1549
NM_003366	109.8613	109.8613
NM_020383	37.0915	37.0915
NM_003365	380.5166	380.5166
NM_001142269	1.1175	18.1701
NM_000821	17.0525	18.1701
NM_173480	3.7261	3.7261
NM_006559	169.4237	169.4237
chr12:26108174-26109159.2	3.1333	3.1333
NM_024051	64.5228	82.8085
chr7:30536238-30544452.1	18.2857	82.8085
NM_144687	1.2358	1.2358
chr7:148618-149328.2	3.1706	7.4137
chr7:148618-149328.1	1.6775	7.4137
chr7:148618-149328.4	2.5656	7.4137
NM_022761	17.0922	17.0922
NM_025150	35.9134	35.9134
NM_001386	82.7593	82.7593
NM_001387	266.0057	266.0057
chr20:18548072-18550201.1	111.8559	111.8559
NM_000598	9.6032	9.6032
NM_015201	17.5311	17.5311
NM_001552	194.315	194.315
chr11:14899557-14913751.13	3.2965	4.6286
chr11:14899557-14913751.15	1.3321	4.6286
NM_181641	4.2056	21.5185
NM_181640	6.2106	21.5185
NM_016951	11.1023	21.5185
NM_000165	399.0899	523.3213
chr6:121756744-121770872.2	124.2314	523.3213
NM_020154	40.4836	40.4836
NM_002060	3.6471	3.6471
chrX:119274756-119277628.1	3.3654	3.3654
chr15:34432875-34502297.14	3.5369	13.8341
NM_024713	3.9806	13.8341
chr15:34432875-34502297.16	6.3167	13.8341
NM_016604	30.7021	30.7021
NM_015852	1.991	1.991
chr19:48774653-48790863.2	2.5511	10.5333
chr19:48774653-48790863.1	0.5779	10.5333
NM_153608	7.4043	10.5333
NM_015957	16.515	16.515
NM_015636	0.0	65.9023
NM_001034116	33.3938	65.9023
NM_172195	32.5084	65.9023
NM_003907	34.003	34.003
NM_014239	31.1209	31.1209
NM_001166588	11.4068	19.8413
chr1:45316193-45452361.1	5.6452	19.8413
NM_020365	2.7893	19.8413
NM_001414	36.661	36.661
NM_004157	11.2949	11.2949
NM_002736	12.3055	12.3055
NM_032121	14.9191	14.9191
NM_006472	15.6253	15.6253
NM_022443	5.9685	11.5594
NM_001130157	2.3325	11.5594
NM_001130156	3.2584	11.5594
NM_014298	150.7044	150.7044
NR_026581	268.9752	268.9752
NM_001165258	16.1612	83.2165
NM_016462	67.0553	83.2165
NM_030969	55.1223	57.6795
NM_001127711	2.5572	57.6795
NM_014051	10.2037	10.2037
NM_031924	1.985	1.985
NM_021922	23.8916	23.8916
chr3:9430536-9439174.9	5.3223	12.0437
chr3:9430536-9439174.3	3.6939	12.0437
NR_027007	3.0275	12.0437
NM_032342	32.3147	32.3147
chr18:74240611-74271783.1	0.1796	0.1796
NM_033428	57.7912	57.7912
chrX:14861528-14891184.16	2.9296	4.6085
NM_001018113	1.6789	4.6085
chr21:36041687-36090519.3	1.2145	1.2145
chr1:28696092-28826880.3	10.4594	21.8138
NM_001048183	11.3543	21.8138
NM_013943	86.578	86.578
NM_006170	57.9741	57.9741
chr6:12717832-13287528.2	3.8148	3.8148
NM_181303	9.6204	10.4266
chrX:70364680-70391049.1	0.8062	10.4266
chr6:31698359-31704341.3	87.5897	387.2097
NM_001288	299.62	387.2097
NM_014878	38.4159	38.4159
NM_032635	306.1666	306.1666
chr17:7076751-7082883.1	3.7192	8.5011
chr17:7076751-7082883.2	4.7819	8.5011
NM_001184819	13.7174	13.7174
chr4:159131400-159176438.1	1.1254	1.1254
NM_018273	11.6259	15.0363
chr19:48835615-48867186.4	3.4103	15.0363
NM_032928	89.3811	89.3811
NR_033947	15.0994	15.0994
NM_024660	11.2868	11.2868
NM_032991	33.6113	33.6113
NM_006595	29.5476	45.7512
NM_001142930	16.2036	45.7512
